" ""HOWARD FURMAN McCORD""",
" ""CLEMENT RICHARDSON WOOD""",https://en.wikipedia.org/wiki/Clement_Wood
" ""HELEN SMITH WOODRUFF""",
" ""FRANCES GILDART RUFFIN DURHAM""",
" ""FRANCES ORMOND JONES GAITHER""",
" ""JAMES R. GARBER""",
" ""MARY WALLACE KIRK""",
" ""ROBERT McDONALD LESTER""",
" ""JAMES BENSON SELLERS""",
" ""GEORGE PLATT WALLER""",
" ""THOMAS PERKINS ABERNETHY""",https://en.wikipedia.org/wiki/Thomas_Perkins_Abernethy
" ""EDWARD CHAMBERS BETTS""",
" ""RANDOLPH FAIRFAX BLACKFORD""",
" ""EDGAR WATTERSON BRANYON""",
" ""RALPH WALDO COWART""",
" ""POSEY OLIVER DAVIS""",
" ""BEN SAMUEL GROSS""",
" ""EMMETT KILPATRICK""",
" ""ALICE ALISON LIDE""",
" ""BASIL BEASLEY McGINTY""",
" ""FRANK LAWRENCE OWSLEY""",https://en.wikipedia.org/wiki/Frank_Lawrence_Owsley
" ""WILLIAM WHATLEY PIERSON""",
" ""LOUISE CRENSHAW RAY""",
" ""WILLIAM MICAJAH SPENCER JR.""",
" ""MINNIE LOUISE STECKEL""",
" ""MARTEN TEN HOOR""",
" ""TRUMAN HUDSON ALEXANDER""",
" ""ELIZABETH HARRIET KELLY ALLISON""",
" ""LOTTIE COPLAN BANDMAN""",
" ""WILLIAM GLEASON BEAN""",
" ""OLIVER CROMWELL CARMICHAEL""",https://en.wikipedia.org/wiki/Oliver_Carmichael
" ""HALLIE FARMER""",
" ""JULIA MAY HARRIS""",
" ""BESSIE MARTIN""",
" ""MITFORD McLEOD MATHEWS""",
" ""THOMAS WAVERLY PALMER JR.""",
" ""LUTHER PATRICK""",
" ""EDGAR LEGARE PENNINGTON""",
" ""HARRIET FITTS RYAN""",
" ""CHARLES BUNYAN SMITH""",
" ""HENRY CLAY VANCE""",
" ""GEORGE LESTER VAUGHAN""",
" ""ELIZABETH TYLER COLEMAN""",
" ""BLANCHE EVANS DEAN""",
" ""ARTHUR GEORGE GASTON""",https://en.wikipedia.org/wiki/A._G._Gaston
" ""CHARLES FRANKLIN LEEK""",
" ""MARTHA LYMAN SHILLITO""",
" ""ESTELLE SCROGGINS SMITH""",
" ""LUCILLE KEY THOMPSON""",
" ""MARTIN LUTHER BECK""",
" ""DANYLU BELSER""",
" ""WILLIAM EDWARD MARCH CAMPBELL""",
" ""HUGH EARLE CONWELL""",
" ""JOHN PALMER CUMMING""",
" ""HIRAM KENNEDY DOUGLASS""",
" ""KATE PORTER LEWIS""",
" ""FLORA MAE MILNER PIKE""",
" ""LOIS YELVERTON""",
" ""HUNTER BRYSON BLAKELY""",
" ""BENNETT HARVIE BRANSCOMB""",
" ""JOHN SHIELDS COLEMAN""",
" ""NELLIE MORRIS JENKINS""",
" ""ELMER PENDELL""",
" ""ALBERT EDWARD BARNETT JR.""",
" ""LORETTA ANN DEERING BLISS""",
" ""FESTUS MALACHI COOK""",
" ""JOSHUA ARTHUR GANN""",
" ""LELIAS EUGENE KIRBY""",
" ""AUGUST HOWARD MASON""",
" ""LADIE AVERETTE FONVILLE PENICK""",
" ""ARTHUR PRESTON WHITAKER""",
" ""CORA CHASTANG BARNETT""",
" ""ANNIE LOUISE RYDER BUSH""",
" ""MARGARET GILLIS FIGH""",
" ""WILLIAM ARMISTEAD GAYLE JR.""",
" ""CAROLYN LANE LUTTRELL""",
" ""MAXWELL SAVELLE""",
" ""HENRY THOMAS SHANKS""",
" ""MATTIE COLE STANFIELD""",
" ""ALBERTA HINDS TATE""",
" ""BAMA WATHAN WATSON""",
" ""THOMAS EUGENE WYATT""",
" ""HUL-CEE MARCUS ACTON""",
" ""RUCKER AGEE""",
" ""WILLIAM KING ASKEW""",
" ""OLIVE BROOKS""",
" ""MARVIN ELLIS BUTTERFIELD""",
" ""JOHN LESLIE CARMICHAEL""",
" ""PETER ARCHIBALD CARMICHAEL""",
